trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.05, 'e': 0.7038453156522362}",25,0,-169.44385569966312,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
160,False,"{'a': 0.05, 'e': 0.7002847660410397}",25,0,-125.30423769898384,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
161,False,"{'a': 0.05, 'e': 0.6967067093471655}",20,0,-137.56378745947222,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",1
162,False,"{'a': 0.05, 'e': 0.6931112350218441}",35,12,-108.52819924340038,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 1}",1
163,False,"{'a': 0.05, 'e': 0.6894984329517471}",20,0,-93.44441829705399,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
164,False,"{'a': 0.05, 'e': 0.6858683934567373}",20,0,-71.66989702802779,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
165,False,"{'a': 0.05, 'e': 0.6822212072876135}",20,0,-32.64069310873565,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
166,False,"{'a': 0.05, 'e': 0.6785569656238399}",35,17,-23.91389953458014,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.05, 'e': 0.6748757600712672}",30,11,-10.236013157696776,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
168,False,"{'a': 0.05, 'e': 0.6711776826598423}",35,12,-35.0698478931798,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
169,False,"{'a': 0.05, 'e': 0.6674628258413081}",20,0,-9.968093067748594,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.05, 'e': 0.6637312824868915}",25,0,-34.12743529748311,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
171,False,"{'a': 0.05, 'e': 0.6599831458849822}",25,14,-22.454111854795467,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
172,False,"{'a': 0.05, 'e': 0.6562185097387997}",20,14,10.335575571039987,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.6524374681640519}",25,13,1.4869135914983302,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.05, 'e': 0.6486401156865809}",30,0,-143.31362885657182,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
175,False,"{'a': 0.05, 'e': 0.6448265472400012}",30,0,-46.36157917445072,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
176,False,"{'a': 0.05, 'e': 0.6409968581633252}",30,0,-103.29662063883003,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
177,False,"{'a': 0.05, 'e': 0.6371511441985802}",20,0,-104.70419857287513,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
178,False,"{'a': 0.05, 'e': 0.6332895014884152}",30,0,-137.8312556230847,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
179,False,"{'a': 0.05, 'e': 0.6294120265736968}",30,0,-117.16084910728264,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
180,False,"{'a': 0.05, 'e': 0.625518816391096}",25,11,-6.548514430167584,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.05, 'e': 0.6216099682706645}",25,0,-49.26376055170083,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
182,False,"{'a': 0.05, 'e': 0.6176855799334016}",35,18,11.434575393167695,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
